Datetime,CZ,FR,HU,NL,SE
2024-01-01 00:00:00,378.32,29.09,201.87,119.37,57.91
2024-01-01 01:00:00,363.38,30.08,197.8,119.65,58.74
2024-01-01 02:00:00,363.23,32.32,195.5,119.13,58.86
2024-01-01 03:00:00,365.21,32.96,197.22,119.15,59.61
2024-01-01 04:00:00,365.19,33.0,206.2,124.77,60.39
2024-01-01 05:00:00,356.25,33.41,196.18,126.82,60.52
2024-01-01 06:00:00,345.59,34.52,190.24,133.2,60.04
2024-01-01 07:00:00,346.48,33.62,181.98,132.69,59.44
2024-01-01 08:00:00,339.2,32.16,170.13,134.97,59.28
2024-01-01 09:00:00,323.65,31.95,148.69,131.89,54.96
2024-01-01 10:00:00,316.63,31.63,134.7,124.01,50.85
2024-01-01 11:00:00,314.1,31.12,136.16,118.26,45.18
2024-01-01 12:00:00,319.82,30.89,143.52,114.59,47.06
2024-01-01 13:00:00,307.74,30.26,151.08,116.75,34.28
2024-01-01 14:00:00,323.28,31.16,168.09,131.23,29.1
2024-01-01 15:00:00,331.2,29.08,172.18,156.4,30.7
2024-01-01 16:00:00,332.54,27.78,174.37,184.17,28.31
2024-01-01 17:00:00,334.58,27.16,172.29,175.13,30.81
2024-01-01 18:00:00,333.85,26.84,171.0,170.71,31.38
2024-01-01 19:00:00,342.48,26.99,167.39,178.91,32.46
2024-01-01 20:00:00,345.77,26.81,172.64,160.06,49.24
2024-01-01 21:00:00,339.25,26.71,171.54,155.32,48.45
2024-01-01 22:00:00,339.66,26.72,171.12,146.75,59.78
2024-01-01 23:00:00,324.5,27.75,172.97,139.24,61.08
2024-01-02 00:00:00,323.19,27.3,177.14,133.35,61.72
2024-01-02 01:00:00,329.52,27.95,184.15,129.21,62.89
2024-01-02 02:00:00,317.36,28.88,187.76,125.5,63.44
2024-01-02 03:00:00,322.03,29.15,195.59,124.75,58.75
2024-01-02 04:00:00,312.69,29.18,201.91,130.91,41.74
2024-01-02 05:00:00,309.33,27.57,199.54,139.91,35.51
2024-01-02 06:00:00,302.48,26.73,198.15,144.26,30.78
2024-01-02 07:00:00,297.85,26.63,184.51,154.1,28.89
2024-01-02 08:00:00,307.6,26.81,168.03,158.7,27.59
2024-01-02 09:00:00,310.27,26.58,143.56,161.53,25.89
2024-01-02 10:00:00,312.61,26.5,179.78,168.8,27.21
2024-01-02 11:00:00,317.5,26.69,187.67,183.53,24.11
