subject_id,subject_label,subject_type,predicate,object_id,object_label,object_type,methodological_note,source_reference
ember_electricity_data_explorer,Ember Electricity Data Explorer,source_platform,provides,ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,"Primary source platform for country-year electricity generation, capacity, demand, imports, power-sector emissions and CO2 intensity data used as wider context for Toola input data.",https://ember-energy.org/data/electricity-data-explorer/
ember_electricity_data_explorer,Ember Electricity Data Explorer,source_platform,provides,ember_carbon_intensity_raw_exports,Ember Carbon Intensity Raw Exports,raw_dataset,"Country-level carbon intensity exports were downloaded through the Data Explorer using Carbon Emission Intensity, Absolute Value, All electricity sources and Countries or Economies.",https://ember-energy.org/data/electricity-data-explorer/
ember_electricity_data_explorer,Ember Electricity Data Explorer,source_platform,uses_license,cc_by_4_0,Creative Commons Attribution 4.0 International,license,"Original Ember data must be attributed when reused, shared or adapted.",https://creativecommons.org/licenses/by/4.0/
ember_energy_mix_workbook,01_EnergyMIX_of_EU_Countries_EMBER.xlsx,source_workbook,contains_sheet,yearly_full_release_long_format,yearly_full_release_long_format,data_sheet,Primary long-format working sheet with country-year records used as wider reference data for Toola.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
yearly_full_release_long_format,EnergyMIX long-format sheet,data_sheet,contains_field,area,Area,field,Country or economy name used for country-level mapping and scenario selection.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
yearly_full_release_long_format,EnergyMIX long-format sheet,data_sheet,contains_field,iso_3_code,ISO 3 code,field,Country code used to stabilise matching between input tables and Toola scenario configuration.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
yearly_full_release_long_format,EnergyMIX long-format sheet,data_sheet,contains_field,year,Year,field,Calendar year dimension used for temporal comparison and year-specific carbon-intensity values.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
yearly_full_release_long_format,EnergyMIX long-format sheet,data_sheet,contains_field,category,Category,field,"High-level grouping such as electricity generation, capacity, demand, imports or power-sector emissions.",01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
yearly_full_release_long_format,EnergyMIX long-format sheet,data_sheet,contains_field,variable,Variable,field,"Specific energy carrier, source, indicator or measured variable used to contextualise the country energy mix.",01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
yearly_full_release_long_format,EnergyMIX long-format sheet,data_sheet,contains_field,unit,Unit,field,"Measurement unit for each observation, such as TWh, GW, %, mtCO2 or gCO2/kWh.",01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
yearly_full_release_long_format,EnergyMIX long-format sheet,data_sheet,contains_field,value,Value,field,"Numerical observation value for the selected country, year, category, variable and unit.",01_EnergyMIX_of_EU_Countries_EMBER.xlsx#yearly_full_release_long_format
ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,contains_variable,electricity_generation_by_source,Electricity Generation by Source,energy_variable,The generation mix explains why individual countries have different carbon intensity levels.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx
ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,contains_variable,installed_capacity_by_source,Installed Capacity by Source,energy_variable,Capacity data provide technology context for country-level electricity-system comparison.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx
ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,contains_variable,electricity_demand,Electricity Demand,energy_variable,Demand data can contextualise electricity-system scale and country-level comparison.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx
ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,contains_variable,electricity_imports,Electricity Imports,energy_variable,Import data may be used to interpret national electricity-system dependency and carbon-intensity context.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx
ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,contains_variable,power_sector_emissions,Power-Sector Emissions,emission_variable,Power-sector emissions data provide emissions context for electricity-system comparisons.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx
ember_energy_mix_long_format,Ember Energy Mix Long-Format Dataset,raw_dataset,contains_variable,co2_intensity,CO2 Intensity,emission_indicator,CO2 intensity is the country-year emission indicator used for the carbon intensity summary table.,01_EnergyMIX_of_EU_Countries_EMBER.xlsx
co2_intensity,CO2 Intensity,emission_indicator,has_unit,gco2_per_kwh,gCO2/kWh,unit,Unit used for electricity carbon-intensity values in the Toola carbon intensity summary.,02_Carbon_intensities_of_EU_Countries_EMBER.xlsx#Carbon_Final
