Date;Time;Magnet heated outlet temperature (°C) - OS1:PI11_211TT03:Sensor:GemW;Magnet cold inlet temperature (°C) - OS1:PI11_211TT04:Sensor:GemW;Percentage of max power - OS5:Vonk:CoolingDemand:Register;Buffer heated outlet temperature (°C) -OS1:PI11_211TT01:Sensor:GemW;Buffer cold inlet temperature (°C) -OS1:PI11_211TT02:Sensor:GemW
21.06.25;14:03:00;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:01;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:02;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:03;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:04;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:05;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:06;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:07;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:08;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:09;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:10;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:11;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:12;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:13;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:14;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:15;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:16;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:17;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:18;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:19;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:20;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:21;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:22;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:23;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:24;17.0;16.4;0.0;13.3;15.4
21.06.25;14:03:25;17.0;16.4;0.0;13.3;15.4
