,Electricity_Consumption[MW],carbon_intensity
2023-01-01 00:00:00,0.02,56.64
2023-01-01 00:15:00,0.01,57.0225
2023-01-01 00:30:00,0.03,57.405
2023-01-01 00:45:00,0.01,57.7875
2023-01-01 01:00:00,0.01,58.17
2023-01-01 01:15:00,0.02,57.79
2023-01-01 01:30:00,0.01,57.41
2023-01-01 01:45:00,0.03,57.03
2023-01-01 02:00:00,0.02,56.65
2023-01-01 02:15:00,0.02,56.9625
2023-01-01 02:30:00,0.01,57.275
2023-01-01 02:45:00,0.03,57.5875
2023-01-01 03:00:00,0.01,57.9
2023-01-01 03:15:00,0.02,57.855
2023-01-01 03:30:00,0.02,57.81
2023-01-01 03:45:00,0.02,57.765
2023-01-01 04:00:00,0.02,57.72
2023-01-01 04:15:00,0.01,58.7425
2023-01-01 04:30:00,0.01,59.765
2023-01-01 04:45:00,0.02,60.7875
2023-01-01 05:00:00,0.02,61.81
2023-01-01 05:15:00,0.02,62.337500000000006
2023-01-01 05:30:00,0.02,62.865
2023-01-01 05:45:00,0.01,63.3925
2023-01-01 06:00:00,0.0,63.92
2023-01-01 06:15:00,0.01,64.39
2023-01-01 06:30:00,0.01,64.86
2023-01-01 06:45:00,0.02,65.33
2023-01-01 07:00:00,0.02,65.8
2023-01-01 07:15:00,0.02,65.03999999999999
2023-01-01 07:30:00,0.01,64.28
2023-01-01 07:45:00,0.02,63.519999999999996
2023-01-01 08:00:00,0.03,62.76
2023-01-01 08:15:00,0.02,61.7475
2023-01-01 08:30:00,0.03,60.735
2023-01-01 08:45:00,0.02,59.7225
2023-01-01 09:00:00,0.02,58.71
2023-01-01 09:15:00,0.02,57.965
2023-01-01 09:30:00,0.02,57.22
2023-01-01 09:45:00,0.01,56.474999999999994
2023-01-01 10:00:00,0.01,55.73
2023-01-01 10:15:00,0.02,56.067499999999995
2023-01-01 10:30:00,0.01,56.405
2023-01-01 10:45:00,0.02,56.7425
2023-01-01 11:00:00,0.01,57.08
2023-01-01 11:15:00,0.02,55.915
2023-01-01 11:30:00,0.03,54.75
2023-01-01 11:45:00,0.01,53.585
2023-01-01 12:00:00,0.01,52.42
2023-01-01 12:15:00,0.03,51.82
2023-01-01 12:30:00,0.02,51.22
2023-01-01 12:45:00,0.02,50.620000000000005
2023-01-01 13:00:00,0.02,50.02
2023-01-01 13:15:00,0.02,49.597500000000004
2023-01-01 13:30:00,0.03,49.175
2023-01-01 13:45:00,0.01,48.7525
2023-01-01 14:00:00,0.02,48.33
2023-01-01 14:15:00,0.01,48.245
2023-01-01 14:30:00,0.01,48.16
2023-01-01 14:45:00,0.02,48.075
2023-01-01 15:00:00,0.02,47.99
2023-01-01 15:15:00,0.02,47.4375
2023-01-01 15:30:00,0.03,46.885000000000005
2023-01-01 15:45:00,0.01,46.3325
2023-01-01 16:00:00,0.02,45.78
2023-01-01 16:15:00,0.02,44.7375
2023-01-01 16:30:00,0.02,43.695
2023-01-01 16:45:00,0.0,42.6525
2023-01-01 17:00:00,0.02,41.61
2023-01-01 17:15:00,0.02,41.2675
2023-01-01 17:30:00,0.02,40.925
2023-01-01 17:45:00,0.02,40.5825
2023-01-01 18:00:00,0.01,40.24
2023-01-01 18:15:00,0.02,40.2475
2023-01-01 18:30:00,0.01,40.255
2023-01-01 18:45:00,0.03,40.2625
2023-01-01 19:00:00,0.01,40.27
2023-01-01 19:15:00,0.02,40.182500000000005
2023-01-01 19:30:00,0.02,40.095
2023-01-01 19:45:00,0.02,40.0075
2023-01-01 20:00:00,0.03,39.92
2023-01-01 20:15:00,0.02,39.9275
2023-01-01 20:30:00,0.03,39.935
2023-01-01 20:45:00,0.02,39.9425
2023-01-01 21:00:00,0.02,39.95
2023-01-01 21:15:00,0.02,40.0675
2023-01-01 21:30:00,0.01,40.185
2023-01-01 21:45:00,0.02,40.3025
2023-01-01 22:00:00,0.03,40.42
2023-01-01 22:15:00,0.03,40.905
2023-01-01 22:30:00,0.02,41.39
2023-01-01 22:45:00,0.02,41.875
2023-01-01 23:00:00,0.02,42.36
2023-01-01 23:15:00,0.03,42.795
2023-01-01 23:30:00,0.02,43.230000000000004
2023-01-01 23:45:00,0.03,43.665
2023-01-02 00:00:00,0.03,44.1
2023-01-02 00:15:00,0.02,44.4075
2023-01-02 00:30:00,0.03,44.715
2023-01-02 00:45:00,0.0,45.0225
2023-01-02 01:00:00,0.03,45.33
2023-01-02 01:15:00,0.01,45.5775
2023-01-02 01:30:00,0.03,45.825
2023-01-02 01:45:00,0.01,46.0725
2023-01-02 02:00:00,0.01,46.32
2023-01-02 02:15:00,0.02,46.3625
2023-01-02 02:30:00,0.02,46.405
2023-01-02 02:45:00,0.0,46.447500000000005
2023-01-02 03:00:00,0.0,46.49
2023-01-02 03:15:00,0.01,46.53
2023-01-02 03:30:00,0.02,46.57
2023-01-02 03:45:00,0.02,46.61
2023-01-02 04:00:00,0.02,46.65
2023-01-02 04:15:00,0.01,46.3925
2023-01-02 04:30:00,0.02,46.135
2023-01-02 04:45:00,0.02,45.8775
2023-01-02 05:00:00,0.02,45.62
2023-01-02 05:15:00,0.02,45.3
2023-01-02 05:30:00,0.01,44.980000000000004
2023-01-02 05:45:00,0.02,44.660000000000004
2023-01-02 06:00:00,0.01,44.34
2023-01-02 06:15:00,0.03,44.837500000000006
2023-01-02 06:30:00,0.02,45.335
2023-01-02 06:45:00,0.02,45.832499999999996
2023-01-02 07:00:00,0.02,46.33
2023-01-02 07:15:00,0.02,46.21
2023-01-02 07:30:00,0.02,46.09
2023-01-02 07:45:00,0.01,45.97
2023-01-02 08:00:00,0.01,45.85
2023-01-02 08:15:00,0.03,46.31
2023-01-02 08:30:00,0.03,46.769999999999996
2023-01-02 08:45:00,0.01,47.23
2023-01-02 09:00:00,0.0,47.69
2023-01-02 09:15:00,0.01,47.945
2023-01-02 09:30:00,0.02,48.2
2023-01-02 09:45:00,0.03,48.455
2023-01-02 10:00:00,0.02,48.71
2023-01-02 10:15:00,0.01,48.775
2023-01-02 10:30:00,0.02,48.84
2023-01-02 10:45:00,0.02,48.905
2023-01-02 11:00:00,0.02,48.97
2023-01-02 11:15:00,0.01,48.875
2023-01-02 11:30:00,0.03,48.78
2023-01-02 11:45:00,0.01,48.685
2023-01-02 12:00:00,0.01,48.59
2023-01-02 12:15:00,0.02,48.612500000000004
2023-01-02 12:30:00,0.02,48.635000000000005
2023-01-02 12:45:00,0.02,48.6575
2023-01-02 13:00:00,0.02,48.68
2023-01-02 13:15:00,0.02,49.4525
2023-01-02 13:30:00,0.01,50.225
2023-01-02 13:45:00,0.02,50.9975
2023-01-02 14:00:00,0.01,51.77
2023-01-02 14:15:00,0.03,51.715
2023-01-02 14:30:00,0.01,51.66
2023-01-02 14:45:00,0.02,51.605
2023-01-02 15:00:00,0.02,51.55
2023-01-02 15:15:00,0.02,51.3775
2023-01-02 15:30:00,0.02,51.205
2023-01-02 15:45:00,0.01,51.0325
2023-01-02 16:00:00,0.01,50.86
2023-01-02 16:15:00,0.03,50.36
2023-01-02 16:30:00,0.03,49.86
2023-01-02 16:45:00,0.01,49.36
2023-01-02 17:00:00,0.02,48.86
2023-01-02 17:15:00,0.03,49.8975
2023-01-02 17:30:00,0.03,50.935
2023-01-02 17:45:00,0.01,51.9725
2023-01-02 18:00:00,0.02,53.01
2023-01-02 18:15:00,0.02,52.5175
2023-01-02 18:30:00,0.02,52.025
2023-01-02 18:45:00,0.02,51.5325
2023-01-02 19:00:00,0.02,51.04
2023-01-02 19:15:00,0.02,50.3825
2023-01-02 19:30:00,0.02,49.724999999999994
2023-01-02 19:45:00,0.01,49.067499999999995
2023-01-02 20:00:00,0.02,48.41
2023-01-02 20:15:00,0.01,47.94
2023-01-02 20:30:00,0.02,47.47
2023-01-02 20:45:00,0.02,47.0
2023-01-02 21:00:00,0.015,46.53
2023-01-02 21:15:00,0.01,48.0375
2023-01-02 21:30:00,0.03,49.545
2023-01-02 21:45:00,0.01,51.0525
2023-01-02 22:00:00,0.02,52.56
2023-01-02 22:15:00,0.01,51.6275
2023-01-02 22:30:00,0.03,50.695
2023-01-02 22:45:00,0.01,49.7625
2023-01-02 23:00:00,0.02,48.83
2023-01-02 23:15:00,0.01,48.589999999999996
2023-01-02 23:30:00,0.01,48.349999999999994
2023-01-02 23:45:00,0.02,48.11
2023-01-03 00:00:00,0.03,47.87
2023-01-03 00:15:00,0.02,47.1675
2023-01-03 00:30:00,0.02,46.465
2023-01-03 00:45:00,0.01,45.7625
2023-01-03 01:00:00,0.02,45.06
2023-01-03 01:15:00,0.02,45.3875
2023-01-03 01:30:00,0.02,45.715
2023-01-03 01:45:00,0.02,46.0425
2023-01-03 02:00:00,0.02,46.37
2023-01-03 02:15:00,0.02,46.65
2023-01-03 02:30:00,0.01,46.93
2023-01-03 02:45:00,0.02,47.21
2023-01-03 03:00:00,0.01,47.49
2023-01-03 03:15:00,0.02,48.295
2023-01-03 03:30:00,0.02,49.1
2023-01-03 03:45:00,0.01,49.905
2023-01-03 04:00:00,0.01,50.71
2023-01-03 04:15:00,0.02,51.895
2023-01-03 04:30:00,0.02,53.08
2023-01-03 04:45:00,0.02,54.265
2023-01-03 05:00:00,0.02,55.45
2023-01-03 05:15:00,0.01,56.68
2023-01-03 05:30:00,0.01,57.91
2023-01-03 05:45:00,0.03,59.14
2023-01-03 06:00:00,0.01,60.37
2023-01-03 06:15:00,0.02,61.635
2023-01-03 06:30:00,0.02,62.900000000000006
2023-01-03 06:45:00,0.02,64.165
2023-01-03 07:00:00,0.02,65.43
2023-01-03 07:15:00,0.02,65.875
2023-01-03 07:30:00,0.03,66.32
2023-01-03 07:45:00,0.02,66.765
2023-01-03 08:00:00,0.01,67.21
2023-01-03 08:15:00,0.03,66.85
2023-01-03 08:30:00,0.02,66.49
2023-01-03 08:45:00,0.03,66.13
2023-01-03 09:00:00,0.01,65.77
2023-01-03 09:15:00,0.03,65.44749999999999
2023-01-03 09:30:00,0.02,65.125
2023-01-03 09:45:00,0.03,64.80250000000001
2023-01-03 10:00:00,0.02,64.48
2023-01-03 10:15:00,0.02,64.2775
2023-01-03 10:30:00,0.03,64.075
2023-01-03 10:45:00,0.03,63.8725
2023-01-03 11:00:00,0.03,63.67
2023-01-03 11:15:00,0.03,63.305
2023-01-03 11:30:00,0.02,62.94
2023-01-03 11:45:00,0.02,62.575
2023-01-03 12:00:00,0.03,62.21
2023-01-03 12:15:00,0.01,62.6425
2023-01-03 12:30:00,0.02,63.075
2023-01-03 12:45:00,0.02,63.5075
2023-01-03 13:00:00,0.0,63.94
2023-01-03 13:15:00,0.02,64.16749999999999
2023-01-03 13:30:00,0.01,64.395
2023-01-03 13:45:00,0.02,64.6225
2023-01-03 14:00:00,0.01,64.85
2023-01-03 14:15:00,0.03,64.6775
2023-01-03 14:30:00,0.02,64.505
2023-01-03 14:45:00,0.02,64.3325
